"rosa_fuerte","rosa_claro","rosa_transparente","morado","azul_fuerte","azul_claro","azul_transparente","amarillo","rojo","verde_claro","verde_transparente","naranja"
0,0,0,15.5,0,0,0,0,0,0,0,0
2.5,2.25,2.25,2.75,2,1.75,1,2.25,1.75,0.25,1,3.25
4.25,0,0.5,5,3.75,1.75,1.75,1,3.75,1.5,0.75,2.5
1.75,1.25,0.5,0,1.5,8,4.75,0,0.75,0.75,0.5,0
0.75,0.5,0.75,1.25,3.75,0.75,1,1,1.75,1,2,2.25
1,4.33333333333333,3.66666666666667,5.66666666666667,2.66666666666667,0,0,0.333333333333333,0,0,0,3.66666666666667
1.25,0.25,1,0.25,4.5,1.75,1.75,1,0.25,3.25,5.75,0.25
